procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0    896 464336  62000 1759648    0    0    79   108  278    0  0  0 99  0  0  0
 0  0    896 463580  62000 1759652    0    0     0     0  449  388  1  1 98  0  0  0
 0  0    896 463580  62000 1759652    0    0     0     0  221  247  1  0 99  0  0  0
 2  0    896 463580  62000 1759652    0    0     0     0  217  237  0  0 100  0  0  0
 0  0    896 463580  62000 1759652    0    0     0     0  402  409  1  1 99  0  0  0
 0  0    896 463580  62000 1759648    0    0     0     0  990 1224  0  0 100  0  0  0
 0  0    896 463580  62008 1759648    0    0     0    64  157  147  1  0 99  0  0  0
 0  0    896 463580  62008 1759648    0    0     0     0  182  178  0  0 100  0  0  0
 0  0    896 463580  62008 1759648    0    0     0     0  145  147  0  0 100  0  0  0
 0  0    896 463580  62008 1759648    0    0     0     0  256  282  0  0 100  0  0  0
