procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0    896 465640  62912 1760372    0    0    79   108  281    0  0  0 99  0  0  0
 0  0    896 465640  62912 1760376    0    0     0     0  419  461  1  0 99  0  0  0
 0  0    896 465640  62912 1760376    0    0     0     0  946 1248  2  1 97  0  0  0
 4  0    896 465640  62920 1760376    0    0     0    44  974 1383  1  1 98  0  0  0
 1  0    896 465640  62920 1760376    0    0     0     0 4657 1994  6  2 92  0  0  0
 0  0    896 465640  62920 1760376    0    0     0     0 1410 1607  6  2 92  0  0  0
 0  0    896 465640  62920 1760376    0    0     0     0  674  834  3  0 97  0  0  0
 0  0    896 465640  62920 1760376    0    0     0     0  835 1064  1  1 98  0  0  0
 0  0    896 465640  62920 1760376    0    0     0     0  825 1026  1  2 97  0  0  0
 0  0    896 465640  62928 1760376    0    0     0    12 1731 1837  1  1 98  0  0  0
